date;time;heartRate
22/03/2024; 23:10:37;84
22/03/2024; 20:14:54;71
22/03/2024; 09:40:04;94
22/03/2024; 08:51:20;109
22/03/2024; 08:50:47;113
21/03/2024; 19:09:44;76
21/03/2024; 19:09:10;94
20/03/2024; 16:18:53;75
20/03/2024; 15:03:50;83
20/03/2024; 14:41:29;81
20/03/2024; 14:22:51;82
20/03/2024; 13:54:38;102
20/03/2024; 13:20:09;79
20/03/2024; 12:30:21;79
20/03/2024; 11:32:49;75
20/03/2024; 10:56:21;79
20/03/2024; 09:10:17;70
20/03/2024; 09:09:44;100
20/03/2024; 08:41:11;71
